Assembly Accession	Organism Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submission Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50
GCA_903821525.1	Acanthamoeba castellanii	69070668	Contig	2020-07-20	CAIJLO01	7563	
GCF_000313135.1	Acanthamoeba castellanii str. Neff	42019824	Scaffold	2013-01-09	AHJI01	44970	344205
GCA_000313135.1	Acanthamoeba castellanii str. Neff	42019824	Scaffold	2013-01-09	AHJI01	44970	344205
GCA_002025285.1	Acanthamoeba comandoni	86214659	Contig	2017-03-13	MRZZ01	2283	
GCA_000826265.1	Acanthamoeba culbertsoni	55543795	Scaffold	2015-01-06	CDFF01	7882	16470
GCA_000826405.1	Acanthamoeba divionensis	84769362	Scaffold	2015-01-07	CDFI01	5348	6569
GCA_000826305.1	Acanthamoeba healyi	75318243	Scaffold	2015-01-07	CDFA01	7871	9058
GCA_002179805.1	Acanthamoeba lenticulata	75569356	Contig	2017-06-08	NAVB01	16602	
GCA_000826285.1	Acanthamoeba lenticulata	66025675	Scaffold	2015-01-07	CDFG01	4158	5152
GCA_002105255.1	Acanthamoeba lenticulata	74697533	Contig	2017-04-21	MSTW01	2501	
GCA_000826425.1	Acanthamoeba lugdunensis	99417109	Scaffold	2015-01-07	CDFB01	2985	3407
GCA_000826465.1	Acanthamoeba mauritaniensis	106836370	Scaffold	2015-01-07	CDFE01	3359	3760
GCA_000826325.1	Acanthamoeba palestinensis	103482825	Scaffold	2015-01-07	CDFD01	3541	3940
GCA_000826505.1	Acanthamoeba pearcei	115614128	Scaffold	2015-01-07	CDFJ01	1353	2067
GCA_001567625.1	Acanthamoeba polyphaga	49353662	Contig	2016-02-24	LQHA01	4176	
GCA_000826345.1	Acanthamoeba polyphaga	120415301	Scaffold	2015-01-08	CDFK01	1454	2200
GCA_000826445.1	Acanthamoeba quina	83589038	Scaffold	2015-01-07	CDFN01	3906	4515
GCA_000826385.1	Acanthamoeba rhysodes	75821316	Scaffold	2015-01-07	CDFC01	3162	4435
GCA_000826365.1	Acanthamoeba royreba	79544075	Scaffold	2015-01-07	CDEZ01	16114	22637
GCA_902749335.1	Acanthamoeba triangularis	66428449	Contig	2021-02-14	CACVKS01	8765	
GCF_001949145.1	Acanthaster planci	383843944	Scaffold	2016-12-20	BDGF01	49680	1521119
GCA_000950615.1	Acanthaster planci	2584918	Scaffold	2015-02-23	BBNW01	70335	1389596
GCA_001949145.1	Acanthaster planci	383843944	Scaffold	2016-12-20	BDGF01	49680	1521119
GCA_001949165.1	Acanthaster planci	383525304	Scaffold	2016-12-20	BDGH01	44235	916880
GCA_019972235.1	Acanthaster planci	400438766	Scaffold	2021-07-31	BLZE01	108124	3897460
GCA_019972275.1	Acanthaster planci	385630944	Scaffold	2021-07-31	BLZC01	73008	1662177
GCF_000695815.1	Acanthisitta chloris	1035876403	Scaffold	2014-05-27	JJRS01	20602	64469
GCA_000695815.1	Acanthisitta chloris	1035876403	Scaffold	2014-05-27	JJRS01	20602	64469
GCA_016880875.1	Acanthisitta chloris	827793803	Scaffold	2021-02-10	JAFCHR01	1753226	1753226
GCA_016904835.1	Acanthisitta chloris	1077368553	Chromosome	2021-02-17	JAFCHQ01	16681756	40827287
GCA_900312575.1	Acanthochaenus luetkenii	545759480	Scaffold	2018-03-19	OMOT01	5636	8444
GCA_900537255.1	Acanthocheilonema viteae	77350906	Scaffold	2018-11-09	UPTC01	18572	25808
GCA_019914995.1	Acanthochlamys bracteata	197965679	Chromosome	2021-09-09	JAFKAK01	6235925	8637207
GCF_002109545.1	Acanthochromis polyacanthus	991584656	Scaffold	2017-04-25	MVNR01	16099	334400
GCA_002109545.1	Acanthochromis polyacanthus	991584656	Scaffold	2017-04-25	MVNR01	16099	334400
GCA_021347895.1	Acanthochromis polyacanthus	956771783	Chromosome	2022-01-11	JAEMOU01	5524274	41709588
GCF_904848185.1	Acanthopagrus latus	685127588	Chromosome	2020-10-12	CAJHBW01	14880455	30717905
GCA_013436515.1	Acanthopagrus latus	806072371	Chromosome	2020-07-23	JABAYC01	1174323	30688393
GCA_020080195.1	Acanthopagrus latus	733109041	Chromosome	2021-09-24	JACEGW01	13476833	29922296
GCA_904848175.1	Acanthopagrus latus	47986553	Scaffold	2020-10-12	CAJHBV01	195684	208235
GCA_904848185.1	Acanthopagrus latus	685127588	Chromosome	2020-10-12	CAJHBW01	14880455	30717905
GCA_016165875.1	Acanthopleura granulata	606536932	Scaffold	2020-12-21	JABBOT01	1098986	23921462
GCA_000661875.1	Acanthoscurria geniculata	7178402394	Scaffold	2014-04-29	AZMS01	541	20294
GCA_930367205.1	Acanthosoma haemorrhoidale	865603386	Chromosome	2022-02-13	CAKNEZ01	3364162	129246741
GCA_930374635.1	Acanthosoma haemorrhoidale	720352621	Scaffold	2022-02-13	CAKNFG01	625006	625006
GCA_023170135.1	Acarapis woodi	78883898	Scaffold	2022-04-06	BLXL01	12396	12522
GCF_003144295.1	Acaromyces ingoldii	19330111	Scaffold	2018-05-21	MCOI01	1252185	3164722
GCA_003144295.1	Acaromyces ingoldii	19330111	Scaffold	2018-05-21	MCOI01	1252185	3164722
GCA_022814355.1	Acarospora aff. strigata	28651879	Scaffold	2022-04-04	JALDZA01	157971	159985
GCA_900241095.1	Acartia tonsa	989163677	Scaffold	2018-01-03	OETC01	3244	3610
GCA_004114255.1	Acaulopage tetraceros	11176780	Scaffold	2019-01-25	QZWU01	49495	53277
GCA_910592055.1	Acaulospora colombiana	299808427	Contig	2021-11-12	CAJVPT01	8208	
GCA_910591835.1	Acaulospora morrowiae	218774155	Contig	2021-11-12	CAJVPV01	6189	
GCA_024222105.1	Accipiter cooperii	1190545496	Scaffold	2022-07-12	JANBPI01	5194	35883487
GCF_929443795.1	Accipiter gentilis	1398011397	Chromosome	2022-02-09	CAKNBG01	17712854	35025567
GCA_012487025.1	Accipiter gentilis	1179252740	Scaffold	2020-04-08	BJER01	67032	150919
GCA_929443795.1	Accipiter gentilis	1398011397	Chromosome	2022-02-09	CAKNBG01	17712854	35025567
GCA_929447715.1	Accipiter gentilis	1112029929	Scaffold	2022-02-13	CAKNBJ01	704099	704099
GCA_017309825.1	Accipiter gentilis atricapillus	1245809754	Scaffold	2021-03-09	JAESIU01	183402	1025078
GCA_024363185.1	Accipiter hiogaster	1223023164	Scaffold	2022-07-21	JANCIS01	10998	36339272
GCA_004320145.1	Accipiter nisus	1190649881	Scaffold	2019-02-16	BJBX01	35336	91241
GCA_943193645.1	Acentria ephemerella	340777416	Chromosome	2022-06-10	CALPDK01	12251206	12251206
GCA_943193655.1	Acentria ephemerella	336121962	Contig	2022-06-10	CALPDL01	2530260	
GCA_014904845.1	Acephala macrosclerotiorum	73683338	Scaffold	2020-10-20	WHVH01	128081	172550
GCA_008009225.1	Acer yangbiense	664928911	Chromosome	2019-08-23	VAHF01	5864378	44917698
GCA_009760885.1	Achatina immaculata	1653153977	Chromosome	2019-12-17	WNKJ01	3802429	56367627
GCA_014858955.1	Acheta domesticus	929173017	Contig	2020-10-07	JAAVVF01	1566	
GCA_000988765.1	Achipteria coleoptrata	88443889	Scaffold	2015-05-06	LBFM01	3360	7481
GCA_002081595.1	Achlya hypogyna	43398470	Scaffold	2017-04-06	JNBR01	35886	52035
GCA_018251735.1	Achlyodes mithridates tamenund	360619446	Contig	2021-05-03	DWPP01	2567	
GCA_018251775.1	Achlyodes pallida	260265516	Contig	2021-05-03	DWTL01	520	
GCA_003707435.1	Aciculoconidium aculeatum	18235016	Scaffold	2018-10-31	PPJB01	218239	218239
GCA_000222935.2	Aciculosporium take MAFF-241224	58836405	Contig	2011-08-03	AFQZ01	40517	
GCA_019670975.1	Acidiella bohemica	26833561	Contig	2021-08-18	JAGUCJ01	1164001	
GCA_001592465.1	Acidomyces richmondensis BFW	29881346	Scaffold	2016-03-15	JPDO01	41596	41652
GCA_003545705.1	Acidomyces sp. 'richmondensis'	29249537	Contig	2018-09-11	QVLQ01	1214476	
GCA_001572075.1	Acidomyces sp. 'richmondensis'	26819972	Contig	2016-02-24	JOOL01	45775	
GCF_003709585.1	Acinonyx jubatus	2384834280	Scaffold	2018-10-22	QURD01	179924	48500042
GCF_001443585.1	Acinonyx jubatus	2372536860	Scaffold	2015-11-13	LLWD01	35120	3122036
GCA_001443585.1	Acinonyx jubatus	2372536860	Scaffold	2015-11-13	LLWD01	35120	3122036
GCA_003709585.1	Acinonyx jubatus	2384834280	Scaffold	2018-10-22	QURD01	179924	48500042
GCA_024762115.1	Acipenser gueldenstaedtii	2389722506	Contig	2022-08-29	JANDEF01	1043	
GCA_013184475.1	Acipenser oxyrinchus oxyrinchus	991502287	Contig	2020-05-28	JABEPO01	1104	
GCF_010645085.1	Acipenser ruthenus	1830484458	Chromosome	2020-02-19	VTUV01	601142	42361471
GCF_902713435.1	Acipenser ruthenus	1663879616	Scaffold	2020-01-08	CACTIF01	11500722	42536799
GCA_004119895.1	Acipenser ruthenus	1732545901	Scaffold	2019-01-30	SCEB01	24377	219750
GCA_010645085.1	Acipenser ruthenus	1830484458	Chromosome	2020-02-19	VTUV01	601142	42361471
GCA_902713425.2	Acipenser ruthenus	1899794300	Chromosome	2022-02-02	CACTIG02	8776027	42723358
GCA_902713435.1	Acipenser ruthenus	1663879616	Scaffold	2020-01-08	CACTIF01	11500722	42536799
GCA_902713435.2	Acipenser ruthenus	1882648115	Chromosome	2022-02-01	CACTIF02	8948077	42286699
GCA_020113195.1	Acipenser transmontanus	860366165	Scaffold	2021-09-23	JAIUCX01	2596	2601
GCA_927399475.1	Acleris emargana	691431929	Chromosome	2022-02-03	CAKMJL01	16693437	22775158
GCA_927399445.1	Acleris emargana	669046345	Contig	2022-01-21	CAKMJO01	861355	
GCA_923062465.1	Acleris sparsana	589529688	Chromosome	2021-12-19	CAKLPT01	18942093	19007631
GCA_923061745.1	Acleris sparsana	578581586	Contig	2021-12-18	CAKLPS01	5804593	
GCA_004027535.1	Acomys cahirinus	2306070819	Scaffold	2019-01-16	PVKX01	42476	65411
GCA_907164435.1	Acomys dimidiatus	2302401611	Chromosome	2021-07-06	CAJQZA01	33040	124365287
GCA_907164505.1	Acomys kempi	2162154686	Chromosome	2021-07-06		33625	125230826
GCA_907169655.1	Acomys percivali	2302049166	Chromosome	2021-07-06	CAJRSG01	26477	126270630
GCA_903995435.1	Acomys russatus	2301522284	Chromosome	2020-08-21	CAJFAB01	4450755	66475698
GCA_000769265.1	Acremonium chrysogenum ATCC 11550	28563214	Scaffold	2014-08-15	JPKY01	149473	166906
GCA_022814615.1	Acremonium citrinum	34525570	Scaffold	2022-04-04	JAKLNE01	385360	479776
GCA_021347865.1	Acremonium sp. CBMAI 1973	35841001	Contig	2022-01-03	WNLN01	87141	
GCA_020087035.1	Acremonium sp. FKII-L8-BK-P5	34452312	Scaffold	2021-09-21	JADCQZ01	519699	951391
GCA_002849675.1	Acridotheres javanicus	1051582182	Scaffold	2018-01-02	PEJO01	144184	5538430
GCA_943193695.1	Acrobasis suavella	647267125	Chromosome	2022-06-10	CALPDP01	21951097	23584496
GCA_943193685.1	Acrobasis suavella	514085146	Contig	2022-06-10	CALPDO01	1054392	
GCA_904813335.1	Acrobates pygmaeus	2500727	Contig	2021-09-24	CAJGQL01	1368	
GCA_900406225.1	Acrobeloides nanus	248054631	Scaffold	2018-06-09	OZJO01	16472	19614
GCA_021534815.1	Acrocephalus arundinaceus	1200110597	Scaffold	2022-01-20	JAJEOU01	6141892	21448883
GCA_013398685.1	Acrocephalus arundinaceus	1184245996	Scaffold	2020-07-10	VZST01	92557	336459
GCA_022441285.1	Acrocephalus familiaris kingi	1079221614	Scaffold	2022-03-02	JAKKIJ01	102588	3600977
GCA_910950805.1	Acrocephalus scirpaceus scirpaceus	1075083815	Chromosome	2021-08-16	CAJVGK01	12742779	74438198
GCA_017607545.1	Acromyrmex charruanus	296539234	Scaffold	2021-03-29	JAANIC01	34925	1865358
GCF_000204515.1	Acromyrmex echinatior	295944863	Scaffold	2011-05-03	AEVX01	80630	1110580
GCA_000204515.1	Acromyrmex echinatior	295944863	Scaffold	2011-05-03	AEVX01	80630	1110580
GCA_024713525.1	Acromyrmex echinatior	313947481	Scaffold	2022-08-19	JANHNX01	5131751	5923001
GCA_017607565.1	Acromyrmex heyeri	295598610	Scaffold	2021-03-29	JAANIB01	10811	1522519
GCA_017607455.1	Acromyrmex insinuator	294656391	Scaffold	2021-03-29	JAANHZ01	39949	1153669
GCA_910591435.1	Acronicta aceris	466369003	Chromosome	2021-07-06		15394549	16061144
GCA_910591495.2	Acronicta aceris	403587884	Contig	2022-01-24	CAJUXQ02	932476	
GCA_014633975.1	Acropora acuminata	394735330	Scaffold	2020-09-05	BLEZ01	51873	1005452
GCA_014634005.1	Acropora awi	428844380	Scaffold	2020-09-05	BLFA01	22742	1089856
GCA_014634045.1	Acropora cytherea	426326548	Scaffold	2020-09-05	BLFB01	50557	1091490
GCF_000222465.1	Acropora digitifera	447478678	Scaffold	2016-01-15	BACK02	10912	483559
GCA_000222465.2	Acropora digitifera	447478678	Scaffold	2016-01-15	BACK02	10912	483559
GCA_014634065.1	Acropora digitifera	415828151	Scaffold	2020-09-05	BLFC01	1097941	1856312
GCA_014634105.1	Acropora echinata	401478809	Scaffold	2020-09-04	BLFD01	24392	1917675
GCA_014634605.1	Acropora florida	442824714	Scaffold	2020-09-05	BLFE01	34202	751376
GCA_014634125.1	Acropora gemmifera	400993167	Scaffold	2020-09-05	BLFF01	25126	1141272
GCA_020536085.1	Acropora hyacinthus	446425040	Chromosome	2021-10-20	JAIFHZ01	2162224	26527962
GCA_014634145.1	Acropora hyacinthus	447200179	Scaffold	2020-09-05	BLFG01	42794	1584703
GCA_014634585.1	Acropora intermedia	416875905	Scaffold	2020-09-05	BLFH01	40253	577312
GCA_014634165.1	Acropora microphthalma	383861656	Scaffold	2020-09-05	BLFI01	36638	1061150
GCF_013753865.1	Acropora millepora	475381253	Chromosome	2020-07-29	JACAWQ01	1091365	19840543
GCF_004143615.1	Acropora millepora	386599652	Scaffold	2019-02-06	QTZP01	36677	494532
GCA_004143615.1	Acropora millepora	386599652	Scaffold	2019-02-06	QTZP01	36677	494532
GCA_013753865.1	Acropora millepora	475381253	Chromosome	2020-07-29	JACAWQ01	1091365	19840543
GCA_014634545.1	Acropora muricata	420731913	Scaffold	2020-09-05	BLFJ01	38011	574627
GCA_014634205.1	Acropora nasuta	416422065	Scaffold	2020-09-05	BLFL01	40130	1051962
GCA_014634525.1	Acropora selago	392938768	Scaffold	2020-09-05	BLFM01	34309	657172
GCA_014633955.1	Acropora tenuis	403138309	Scaffold	2020-09-05	BLAZ01	27215	1165953
GCA_014634225.1	Acropora yongei	438047505	Scaffold	2020-09-05	BLFN01	45501	3033871
GCA_024336885.1	Actenoides hombroni	1152258273	Scaffold	2022-07-20	WUAM01	26755	10995457
GCA_010014465.1	Actias luna	684275567	Scaffold	2020-01-30	WUCQ01	112291	214835
GCA_022086475.1	Actinemys marmorata	2301101399	Scaffold	2022-02-09	JAJLPC01	75081387	146229595
GCA_009430475.1	Actinemys marmorata	2388727788	Scaffold	2019-10-31	VOGN01	59125	13640393
GCA_022086895.1	Actinemys marmorata	2209870670	Scaffold	2022-02-08	JAJLPD01	2165034	18355815
GCA_023634205.1	Actinemys pallida	2326911222	Scaffold	2022-06-01	JALMGD01	93983910	140349533
GCA_023634275.1	Actinemys pallida	2348990949	Scaffold	2022-06-01	JALMGE01	74102736	138763108
GCA_011057435.1	Actinia equina	409058306	Contig	2020-03-02	WHPX01	492607	
GCF_009602425.1	Actinia tenebrosa	238179736	Scaffold	2019-11-06	WAHB01	13051	188789
GCA_009602425.1	Actinia tenebrosa	238179736	Scaffold	2019-11-06	WAHB01	13051	188789
GCA_009663005.1	Actinidia chinensis	653926268	Chromosome	2019-11-14	VIGQ01	1433402	1433402
GCA_000467755.1	Actinidia chinensis	604217145	Contig	2013-09-16	AONS01	58864	
GCA_003024255.1	Actinidia chinensis var. chinensis	553842477	Chromosome	2018-03-30	NKQK01	94268	18944233
GCA_024454175.1	Actinidia deliciosa	621990945	Chromosome	2022-08-01	JAMWYR01	10083337	21085329
GCA_019202715.1	Actinidia eriantha	657097116	Chromosome	2021-07-13	JAHSQF01	1659789	22298404
GCA_004150315.1	Actinidia eriantha	689867039	Chromosome	2019-02-08	QOVS01	539296	21642546
GCA_014362265.1	Actinidia rufa	647239177	Scaffold	2020-08-20	BJWL01	570472	15941708
GCA_016098155.1	Actinomortierella ambigua	37923144	Scaffold	2020-12-16	JAAAJB01	33511	48912
GCA_015502565.1	Actinomortierella ambigua	37568403	Scaffold	2020-11-16	JAAAUS01	30269	44814
GCA_015849275.1	Actinomortierella ambigua	35145602	Scaffold	2020-12-08	JAAAIA01	24138	47393
GCA_016098105.1	Actinomortierella wolfii	34232935	Scaffold	2020-12-16	JAAAIY01	56063	93672
GCA_016098135.1	Actinomortierella wolfii	34053379	Scaffold	2020-12-16	JAAAIZ01	53094	90211
GCA_001599635.1	Actinomucor elegans	34171183	Scaffold	2016-03-01	BCHK01	195194	748976
GCA_010015985.1	Actinopyga echinites	899119518	Scaffold	2020-01-30	JAAAJZ01	1894	1907
GCA_015350385.1	Aculops lycopersici	32530641	Scaffold	2020-11-10	WNKI01	71287	10499462
GCF_005508785.2	Acyrthosiphon pisum	533632392	Chromosome	2019-05-20	SDIB01	25986	132544852
GCF_000142985.2	Acyrthosiphon pisum	541675471	Scaffold	2010-06-24	ABLF02	28201	518546
GCA_000142985.2	Acyrthosiphon pisum	541675471	Scaffold	2010-06-24	ABLF02	28201	518546
GCA_005508785.2	Acyrthosiphon pisum	533632392	Chromosome	2019-05-20	SDIB01	25986	132544852
GCA_900092245.1	Acytostelium leptosomum	57256845	Scaffold	2017-01-02	FLTG01	3587	4217
GCF_000787575.1	Acytostelium subglobosum LB1	31002963	Scaffold	2014-12-22	BAUZ01	188563	889228
GCA_000787575.2	Acytostelium subglobosum LB1	31002963	Scaffold	2014-12-22	BAUZ01	188563	889228
GCA_910592335.1	Adalia bipunctata	475267023	Chromosome	2021-07-07	CAJUZD01	18317171	45869983
GCA_910591895.1	Adalia bipunctata	357820147	Scaffold	2021-07-07	CAJUZC01	1842588	1842588
GCA_019593525.1	Addax nasomaculatus	2795170309	Scaffold	2021-08-13	JAIEZW01	17026	20757513
GCA_009867175.1	Adela reaumurella	874161216	Scaffold	2020-01-14	WYDE01	12648	634530
GCF_023614345.1	Adelges cooleyi	270197466	Scaffold	2022-05-31	JALSES01	7175929	14867064
GCA_023614345.1	Adelges cooleyi	270197466	Scaffold	2022-05-31	JALSES01	7175929	14867064
GCA_018812205.1	Adelognathus sp. PSUC_FEM 10030001	267372574	Scaffold	2021-06-09	JABFVB01	1927	1927
GCA_916700685.1	Adelosebastes latens	832469038	Scaffold	2021-10-09	CAKAKR01	29796	53184
GCA_022495995.1	Adenophora triphylla var. japonica	2477772497	Contig	2022-03-07	JAFEMH01	403696	
GCA_014529385.2	Adiantum capillus-veneris	4822565590	Chromosome	2022-07-05	JABFUD02	16209944	159320382
GCA_022343405.2	Adiantum nelumboides	6272107417	Contig	2022-06-28	JAKNSL02	1373929	
GCA_905250025.1	Adineta ricciae	135599987	Scaffold	2021-03-19	CAJNOJ01	178075	283762
GCA_900239715.1	Adineta ricciae	201276416	Scaffold	2018-02-10	OEOB01	9511	18700
GCA_900240375.1	Adineta ricciae	174494180	Scaffold	2018-02-10	OEQJ01	58268	276750
GCA_905250095.1	Adineta ricciae	172240959	Scaffold	2021-03-20	CAJNOR01	18524	18562
GCA_905250115.1	Adineta steineri	171140834	Scaffold	2021-03-20	CAJNOI01	32736	200132
GCA_905250015.1	Adineta steineri	231071434	Scaffold	2021-03-20	CAJNOM01	38515	199153
GCA_905250035.1	Adineta steineri	160346746	Scaffold	2021-03-20	CAJNOE01	55060	168203
GCA_905250045.1	Adineta steineri	160340742	Scaffold	2021-03-20	CAJNOG01	52305	158138
GCA_905250065.1	Adineta steineri	156314491	Scaffold	2021-03-19	CAJNON01	63248	169644
GCA_905332015.1	Adineta steineri	163706511	Scaffold	2021-03-20	CAJOAZ01	20688	20845
GCA_905332035.1	Adineta steineri	166602683	Scaffold	2021-03-20	CAJOAY01	21460	22358
GCA_905332045.1	Adineta steineri	163826361	Scaffold	2021-03-20	CAJOBB01	22096	22714
GCA_021613535.1	Adineta vaga	100824805	Chromosome	2022-01-26		14694427	16930519
GCA_000513175.1	Adineta vaga	217933776	Scaffold	2013-11-26	CAWI02	94665	260259
GCA_013411005.1	Adineta vaga	197096676	Contig	2020-07-13	WJQV01	22072	
GCA_021403095.1	Adineta vaga	217117546	Contig	2022-01-10	JAGENE01	87402	
GCA_900239655.1	Adineta vaga	109398351	Contig	2018-02-10	OENK01	86888	
GCA_900239665.1	Adineta vaga	216204602	Contig	2018-02-12	OEOC01	1259	
GCA_005406045.1	Adoxophyes honmai	469620330	Scaffold	2019-04-08	BHDV01	26229	188809
GCA_009867245.1	Adranes taylori	887888497	Scaffold	2020-01-14	WYDF01	27425	583424
GCA_024181965.1	Aduncisulcus paluster	29553547	Scaffold	2022-06-02	BQXS01	4624	8678
GCF_002204515.2	Aedes aegypti	1278715314	Chromosome	2017-06-22	NIGP01	11758062	409777670
GCF_000004015.4	Aedes aegypti	1383957531	Scaffold	2014-04-30	AAGE02	82618	1547048
GCA_000004015.3	Aedes aegypti	1383957531	Scaffold	2014-04-30	AAGE02	82618	1547048
GCA_001014885.1	Aedes aegypti	744596036	Scaffold	2015-05-28	JXPU01	989	4251
GCA_002204515.1	Aedes aegypti	1278715314	Chromosome	2017-06-22	NIGP01	11758062	409777670
GCA_014049715.1	Aedes aegypti	1269476883	Contig	2020-08-03	JABWQA01	1344	
GCA_021653915.1	Aedes aegypti	1723878797	Contig	2022-01-27	JAJPPM01	1420115	
GCF_006496715.1	Aedes albopictus	2538371206	Scaffold	2019-06-28	SWKY01	1184735	55702539
GCF_001876365.2	Aedes albopictus	2247289552	Contig	2017-01-09	MNAF02	3303944	
GCA_001444175.2	Aedes albopictus	1923476627	Scaffold	2016-02-23	JXUM01	18430	201017
GCA_001574995.1	Aedes albopictus	1341044778	Contig	2015-12-22	LMAV01	397	
GCA_001876365.2	Aedes albopictus	2247289552	Contig	2017-01-09	MNAF02	3303944	
GCA_006496715.1	Aedes albopictus	2538371206	Scaffold	2019-06-28	SWKY01	1184735	55702539
GCA_006516635.1	Aedes albopictus	2636055571	Contig	2019-06-28	SWKZ01	348191	
GCA_018104305.1	Aedes albopictus	1450641013	Scaffold	2021-04-20	JAFDOQ01	7529798	10094208
GCA_024533555.1	Aedes koreicus	879671010	Contig	2022-08-04	JAHHFK01	18623	
GCA_021605145.1	Aegilops bicornis	5902718208	Chromosome	2022-01-26	JAHIAL01	3789496	816571685
GCA_021605205.1	Aegilops longissima	5796085646	Chromosome	2022-01-26	JAHIAM01	916432	757558930
GCA_904067125.1	Aegilops longissima	6689482705	Chromosome	2022-02-18	CAJFDG01	14767	862608691
GCA_021605185.1	Aegilops searsii	5336424591	Chromosome	2022-01-26	JAHHZK01	518615	646289097
GCA_021641835.1	Aegilops sharonensis	5892836925	Chromosome	2022-01-26	JAHIAN01	901452	703022076
GCA_021437245.1	Aegilops speltoides	4110187043	Chromosome	2022-01-12	JAHHZJ01	1505944	530918953
GCA_944222845.1	Aegilops speltoides subsp. speltoides	5116924366	Chromosome	2022-07-14	CALUEN01	19024	536175046
GCA_000347335.2	Aegilops tauschii	4310349319	Chromosome	2017-10-25	AOCO02	121249	12088055
GCA_002105435.1	Aegilops tauschii	247197181	Chromosome	2017-04-24	LYXL01	70537	247197181
GCF_002575655.2	Aegilops tauschii subsp. strangulata	4218064899	Chromosome	2021-09-30	NWVB02	211214	576238907
GCA_002575655.2	Aegilops tauschii subsp. strangulata	4218064899	Chromosome	2021-09-30	NWVB02	211214	576238907
GCF_001957025.1	Aegilops tauschii subsp. tauschii	4327207513	Contig	2017-01-19	MCGU01	468757	
GCA_001957025.1	Aegilops tauschii subsp. tauschii	4327207513	Contig	2017-01-19	MCGU01	468757	
GCA_013389925.1	Aegithalos caudatus	1013845238	Scaffold	2020-07-06	WEIU01	34055	311465
GCA_013398125.1	Aegotheles bennettii	1089119258	Scaffold	2020-07-10	VZRW01	65833	324808
GCA_911387785.2	Aelia acuminata	1169983176	Chromosome	2022-02-09	CAJVQU02	4690255	172186306
GCA_911387705.1	Aelia acuminata	948989416	Scaffold	2021-07-21	CAJVQN01	901678	902599
GCA_004216415.1	Aeminium ludgeri	22585551	Scaffold	2019-02-20	SGQK01	144419	181365
GCA_010014765.1	Aenictocupidus jacobsonorum	178224308	Scaffold	2020-01-30	JAAAKC01	5917	445844
GCA_901007665.1	Aeoliscus strigatus	381315519	Scaffold	2020-04-15	CAAKHB01	15935	115785
GCA_011751065.1	Aeorestes cinereus	2149060452	Scaffold	2020-03-25	JAAGEH01	120638	35075546
